date,class,lesson_number,time_slot,subject,classroom,homework,weekday,class_column
2025-09-28,8а,5,11.35-12.15,Англисский,10,,воскресенье,N
2025-09-28,8а,6,12.25-13.05,Химия,25,,воскресенье,N
2025-09-28,8б,1,8.00-8.40,РОВ,24,,воскресенье,O
2025-09-28,8б,2,8.50-9.30,Химия,25,,воскресенье,O
2025-09-28,8б,3,9.45-10.25,Биология,24,,воскресенье,O
2025-09-28,8б,4,10.45-11.25,Англиссикй,10,,воскресенье,O
2025-09-28,8б,5,11.35-12.15,История,12,,воскресенье,O
2025-09-28,8б,6,12.25-13.05,Алгебра,27,,воскресенье,O
2025-09-28,9а,1,8.00-8.40,РОВ,17,,воскресенье,P
2025-09-28,9а,2,8.50-9.30,Русский,21,,воскресенье,P
2025-09-28,9а,3,9.45-10.25,Физика,14,,воскресенье,P
2025-09-28,9а,4,10.45-11.25,Биология,24,,воскресенье,P
2025-09-28,9а,5,11.35-12.15,Алгебра,27,,воскресенье,P
2025-09-28,9а,6,12.25-13.05,ИВТ_Англ,2322,,воскресенье,P
2025-09-28,9б,1,8.00-8.40,РОВ,11,,воскресенье,Q
2025-09-28,9б,2,8.50-9.30,ИВТ_Англ,2322,,воскресенье,Q
2025-09-28,9б,3,9.45-10.25,ИВТ_Англ,2322,,воскресенье,Q
2025-09-28,9б,4,10.45-11.25,Физика,14,,воскресенье,Q
2025-09-28,9б,5,11.35-12.15,Биология,24,,воскресенье,Q
2025-09-28,9б,6,12.25-13.05,Русский,19,,воскресенье,Q
2025-09-28,10а,1,8.00-8.40,География,16,,воскресенье,R
2025-09-28,10а,2,8.50-9.30,Алгебра,27,,воскресенье,R
2025-09-28,10а,3,9.45-10.25,Алгебра,27,,воскресенье,R
2025-09-28,10а,4,10.45-11.25,Химия,25,,воскресенье,R
2025-09-28,10а,5,11.35-12.15,ИВТ,23,,воскресенье,R
2025-09-28,10а,6,12.25-13.05,Биология,24,,воскресенье,R
2025-09-28,11а,1,8.00-8.40,РОВ,14,,воскресенье,S
2025-09-28,11а,2,8.50-9.30,География,16,,воскресенье,S
2025-09-28,11а,3,9.45-10.25,Химия,25,,воскресенье,S
2025-09-28,11а,4,10.45-11.25,Русский,19,,воскресенье,S
2025-09-28,11а,5,11.35-12.15,Общество,11,,воскресенье,S
2025-09-28,11а,6,12.25-13.05,Общество,11,,воскресенье,S
