date,class,lesson_number,time_slot,subject,classroom,homework,weekday,class_column
2025-09-23,6б,1,8.00-8.40,MATH,15,,вторник,I
2025-09-23,6б,2,8.50-9.30,RUSSIAN,28,,вторник,I
2025-09-23,6б,3,9.45-10.25,MATH,15,,вторник,I
2025-09-23,6б,4,10.45-11.25,RUSSIAN,28,,вторник,I
2025-09-23,6б,5,11.35-12.15,MATH,15,,вторник,I
2025-09-23,6б,7,13.10-13.50,RUSSIAN,28,,вторник,I
2025-09-23,6в,1,8.00-8.40,MATH,16,,вторник,J
2025-09-23,6в,2,8.50-9.30,RUSSIAN,29,,вторник,J
2025-09-23,6в,3,9.45-10.25,MATH,16,,вторник,J
2025-09-23,6в,4,10.45-11.25,RUSSIAN,29,,вторник,J
2025-09-23,6в,5,11.35-12.15,MATH,16,,вторник,J
2025-09-23,6в,7,13.10-13.50,RUSSIAN,29,,вторник,J
2025-09-23,7а,1,8.00-8.40,MATH,17,,вторник,K
2025-09-23,7а,2,8.50-9.30,RUSSIAN,30,,вторник,K
2025-09-23,7а,3,9.45-10.25,MATH,17,,вторник,K
2025-09-23,7а,4,10.45-11.25,RUSSIAN,30,,вторник,K
2025-09-23,7а,5,11.35-12.15,MATH,17,,вторник,K
2025-09-23,7а,7,13.10-13.50,RUSSIAN,30,,вторник,K
2025-09-23,7б,1,8.00-8.40,MATH,18,,вторник,L
2025-09-23,7б,2,8.50-9.30,RUSSIAN,31,,вторник,L
2025-09-23,7б,3,9.45-10.25,MATH,18,,вторник,L
2025-09-23,7б,4,10.45-11.25,RUSSIAN,31,,вторник,L
2025-09-23,7б,5,11.35-12.15,MATH,18,,вторник,L
2025-09-23,7б,7,13.10-13.50,RUSSIAN,31,,вторник,L
2025-09-23,7в,1,8.00-8.40,MATH,19,,вторник,M
2025-09-23,7в,2,8.50-9.30,RUSSIAN,32,,вторник,M
2025-09-23,7в,3,9.45-10.25,MATH,19,,вторник,M
2025-09-23,7в,4,10.45-11.25,RUSSIAN,32,,вторник,M
2025-09-23,7в,5,11.35-12.15,MATH,19,,вторник,M
2025-09-23,7в,7,13.10-13.50,RUSSIAN,32,,вторник,M
2025-09-23,8а,1,8.00-8.40,MATH,20,,вторник,N
2025-09-23,8а,2,8.50-9.30,RUSSIAN,33,,вторник,N
2025-09-23,8а,3,9.45-10.25,MATH,20,,вторник,N
2025-09-23,8а,4,10.45-11.25,RUSSIAN,33,,вторник,N
2025-09-23,8а,5,11.35-12.15,MATH,20,,вторник,N
2025-09-23,8а,7,13.10-13.50,RUSSIAN,33,,вторник,N
2025-09-23,8б,1,8.00-8.40,MATH,21,,вторник,O
2025-09-23,8б,2,8.50-9.30,RUSSIAN,34,,вторник,O
2025-09-23,8б,3,9.45-10.25,MATH,21,,вторник,O
2025-09-23,8б,4,10.45-11.25,RUSSIAN,34,,вторник,O
2025-09-23,8б,5,11.35-12.15,MATH,21,,вторник,O
2025-09-23,8б,7,13.10-13.50,RUSSIAN,34,,вторник,O
2025-09-23,9а,1,8.00-8.40,MATH,22,,вторник,P
2025-09-23,9а,2,8.50-9.30,RUSSIAN,35,,вторник,P
2025-09-23,9а,3,9.45-10.25,MATH,22,,вторник,P
2025-09-23,9а,4,10.45-11.25,RUSSIAN,35,,вторник,P
2025-09-23,9а,5,11.35-12.15,MATH,22,,вторник,P
2025-09-23,9а,7,13.10-13.50,RUSSIAN,35,,вторник,P
2025-09-23,9б,1,8.00-8.40,MATH,23,,вторник,Q
2025-09-23,9б,2,8.50-9.30,RUSSIAN,36,,вторник,Q
2025-09-23,9б,3,9.45-10.25,MATH,23,,вторник,Q
2025-09-23,9б,4,10.45-11.25,RUSSIAN,36,,вторник,Q
2025-09-23,9б,5,11.35-12.15,MATH,23,,вторник,Q
2025-09-23,9б,7,13.10-13.50,RUSSIAN,36,,вторник,Q
2025-09-23,10а,1,8.00-8.40,MATH,24,,вторник,R
2025-09-23,10а,2,8.50-9.30,RUSSIAN,37,,вторник,R
2025-09-23,10а,3,9.45-10.25,MATH,24,,вторник,R
2025-09-23,10а,4,10.45-11.25,RUSSIAN,37,,вторник,R
2025-09-23,10а,5,11.35-12.15,MATH,24,,вторник,R
2025-09-23,10а,7,13.10-13.50,RUSSIAN,37,,вторник,R
2025-09-23,11а,1,8.00-8.40,MATH,25,,вторник,S
2025-09-23,11а,2,8.50-9.30,RUSSIAN,38,,вторник,S
2025-09-23,11а,3,9.45-10.25,MATH,25,,вторник,S
2025-09-23,11а,4,10.45-11.25,RUSSIAN,38,,вторник,S
2025-09-23,11а,5,11.35-12.15,MATH,25,,вторник,S
2025-09-23,11а,7,13.10-13.50,RUSSIAN,38,,вторник,S
